tenure.id,coach.id,franchise.id,start.year,end.year,coach.wins,coach.losses,coach.games,tenure.slug
337,loughke01c,MIA,1992,1995,133,159,292,loughke01c_MIA_1992_1995
338,gentral99c,MIA,1995,1995,15,21,36,gentral99c_MIA_1995_1995
339,rileypa01c,MIA,1996,2003,354,270,624,rileypa01c_MIA_1996_2003
340,vangust99c,MIA,2004,2006,112,73,185,vangust99c_MIA_2004_2006
341,rileypa01c,MIA,2006,2008,100,125,225,rileypa01c_MIA_2006_2008
342,spoeler99c,MIA,2009,2020,564,387,951,spoeler99c_MIA_2009_2020
343,costela01c,MIL,1969,1977,410,264,674,costela01c_MIL_1969_1977
344,nelsodo01c,MIL,1977,1987,540,344,884,nelsodo01c_MIL_1977_1987
345,harride99c,MIL,1988,1992,191,154,345,harride99c_MIL_1988_1992
346,hamblfr99c,MIL,1992,1992,23,42,65,hamblfr99c_MIL_1992_1992
347,dunlemi01c,MIL,1993,1996,107,221,328,dunlemi01c_MIL_1993_1996
348,fordch01c,MIL,1997,1998,69,95,164,fordch01c_MIL_1997_1998
349,karlge01c,MIL,1999,2003,205,173,378,karlge01c_MIL_1999_2003
350,portete01c,MIL,2004,2005,71,93,164,portete01c_MIL_2004_2005
351,stottte99c,MIL,2006,2007,63,83,146,stottte99c_MIL_2006_2007
352,krystla01c,MIL,2007,2008,31,69,100,krystla01c_MIL_2007_2008
353,skilesc01c,MIL,2009,2013,162,182,344,skilesc01c_MIL_2009_2013
354,boylaji99c,MIL,2013,2013,22,28,50,boylaji99c_MIL_2013_2013
355,drewla01c,MIL,2014,2014,15,67,82,drewla01c_MIL_2014_2014
356,kiddja01c,MIL,2015,2018,139,152,291,kiddja01c_MIL_2015_2018
357,pruntjo01c,MIL,2018,2018,21,16,37,pruntjo01c_MIL_2018_2018
358,budenmi99c,MIL,2019,2020,113,34,147,budenmi99c_MIL_2019_2020
359,mussebi99c,MIN,1990,1991,51,113,164,mussebi99c_MIN_1990_1991
360,rodgeji99c,MIN,1992,1993,21,90,111,rodgeji99c_MIN_1992_1993
361,lowesi01c,MIN,1993,1994,33,102,135,lowesi01c_MIN_1993_1994
362,blairbi99c,MIN,1995,1996,27,75,102,blairbi99c_MIN_1995_1996
363,saundfl99c,MIN,1996,2005,411,326,737,saundfl99c_MIN_1996_2005
364,mchalke01c,MIN,2005,2005,19,12,31,mchalke01c_MIN_2005_2005
365,caseydw99c,MIN,2006,2007,53,69,122,caseydw99c_MIN_2006_2007
366,wittmra01c,MIN,2007,2009,38,105,143,wittmra01c_MIN_2007_2009
367,mchalke01c,MIN,2009,2009,20,43,63,mchalke01c_MIN_2009_2009
368,rambiku01c,MIN,2010,2011,32,132,164,rambiku01c_MIN_2010_2011
369,adelmri01c,MIN,2012,2014,97,133,230,adelmri01c_MIN_2012_2014
370,saundfl99c,MIN,2015,2015,16,66,82,saundfl99c_MIN_2015_2015
371,mitchsa01c,MIN,2016,2016,29,53,82,mitchsa01c_MIN_2016_2016
372,thiboto99c,MIN,2017,2019,97,107,204,thiboto99c_MIN_2017_2019
373,saundry01c,MIN,2019,2020,36,70,106,saundry01c_MIN_2019_2020
374,silaspa01c,NOH,2003,2003,47,35,82,silaspa01c_NOH_2003_2003
375,floydti99c,NOH,2004,2004,41,41,82,floydti99c_NOH_2004_2004
376,scottby01c,NOH,2005,2010,203,216,419,scottby01c_NOH_2005_2010
377,bowerje99c,NOH,2010,2010,34,39,73,bowerje99c_NOH_2010_2010
378,willimo01c,NOH,2011,2015,173,221,394,willimo01c_NOH_2011_2015
379,gentral99c,NOH,2016,2020,173,219,392,gentral99c_NOH_2016_2020
380,cohalne99c,NYK,1947,1947,33,27,60,cohalne99c_NYK_1947_1947
381,lapchjo99c,NYK,1948,1956,326,247,573,lapchjo99c_NYK_1948_1956
382,borylvi01c,NYK,1956,1958,80,85,165,borylvi01c_NYK_1956_1958
383,levanan01c,NYK,1959,1960,48,51,99,levanan01c_NYK_1959_1960
384,braunca01c,NYK,1960,1961,40,87,127,braunca01c_NYK_1960_1961
385,donoved99c,NYK,1962,1965,84,194,278,donoved99c_NYK_1962_1965
386,gallaha01c,NYK,1965,1966,25,38,63,gallaha01c_NYK_1965_1966
387,mcguidi01c,NYK,1966,1968,75,103,178,mcguidi01c_NYK_1966_1968
388,holzmre01c,NYK,1968,1977,466,316,782,holzmre01c_NYK_1968_1977
389,reedwi01c,NYK,1978,1979,49,47,96,reedwi01c_NYK_1978_1979
390,holzmre01c,NYK,1979,1982,147,167,314,holzmre01c_NYK_1979_1982
391,brownhu99c,NYK,1983,1987,142,202,344,brownhu99c_NYK_1983_1987
392,hillbo99c,NYK,1987,1987,20,46,66,hillbo99c_NYK_1987_1987
393,pitinri99c,NYK,1988,1989,90,74,164,pitinri99c_NYK_1988_1989
394,jacksst99c,NYK,1990,1991,52,45,97,jacksst99c_NYK_1990_1991
395,maclejo99c,NYK,1991,1991,32,35,67,maclejo99c_NYK_1991_1991
396,rileypa01c,NYK,1992,1995,223,105,328,rileypa01c_NYK_1992_1995
397,nelsodo01c,NYK,1996,1996,34,25,59,nelsodo01c_NYK_1996_1996
398,vanguje99c,NYK,1996,2002,248,172,420,vanguje99c_NYK_1996_2002
399,chanedo01c,NYK,2002,2004,72,112,184,chanedo01c_NYK_2002_2004
400,willihe01c,NYK,2004,2004,1,0,1,willihe01c_NYK_2004_2004
401,wilkele01c,NYK,2004,2005,40,41,81,wilkele01c_NYK_2004_2005
402,willihe01c,NYK,2005,2005,16,27,43,willihe01c_NYK_2005_2005
403,brownla01c,NYK,2006,2006,23,59,82,brownla01c_NYK_2006_2006
404,thomais01c,NYK,2007,2008,56,108,164,thomais01c_NYK_2007_2008
405,dantomi01c,NYK,2009,2012,121,167,288,dantomi01c_NYK_2009_2012
406,woodsmi01c,NYK,2012,2014,109,79,188,woodsmi01c_NYK_2012_2014
407,fishede01c,NYK,2015,2016,40,96,136,fishede01c_NYK_2015_2016
408,rambiku01c,NYK,2016,2016,9,19,28,rambiku01c_NYK_2016_2016
409,hornaje01c,NYK,2017,2018,60,104,164,hornaje01c_NYK_2017_2018
410,fizdada01c,NYK,2019,2020,21,83,104,fizdada01c_NYK_2019_2020
411,millemi99c,NYK,2020,2020,17,27,44,millemi99c_NYK_2020_2020
412,biancal01c,OKC,1968,1969,53,111,164,biancal01c_OKC_1968_1969
413,wilkele01c,OKC,1970,1972,121,125,246,wilkele01c_OKC_1970_1972
414,nissato99c,OKC,1973,1973,13,32,45,nissato99c_OKC_1973_1973
415,buckwbu99c,OKC,1973,1973,13,24,37,buckwbu99c_OKC_1973_1973
416,russebi01c,OKC,1974,1977,162,166,328,russebi01c_OKC_1974_1977
417,hopkibo01c,OKC,1978,1978,5,17,22,hopkibo01c_OKC_1978_1978
418,wilkele01c,OKC,1978,1985,357,277,634,wilkele01c_OKC_1978_1985
419,bickebe99c,OKC,1986,1990,202,208,410,bickebe99c_OKC_1986_1990
420,joneskc01c,OKC,1991,1992,59,59,118,joneskc01c_OKC_1991_1992
421,kloppbo99c,OKC,1992,1992,2,2,4,kloppbo99c_OKC_1992_1992
422,karlge01c,OKC,1992,1998,384,150,534,karlge01c_OKC_1992_1998
423,westppa01c,OKC,1999,2001,76,71,147,westppa01c_OKC_1999_2001
424,mcmilna01c,OKC,2001,2005,212,183,395,mcmilna01c_OKC_2001_2005
425,weissbo01c,OKC,2006,2006,13,17,30,weissbo01c_OKC_2006_2006
426,hillbo99c,OKC,2006,2007,53,81,134,hillbo99c_OKC_2006_2007
427,carlepj99c,OKC,2008,2009,21,74,95,carlepj99c_OKC_2008_2009
428,brooksc01c,OKC,2009,2015,338,207,545,brooksc01c_OKC_2009_2015
429,donovbi99c,OKC,2016,2020,239,153,392,donovbi99c_OKC_2016_2020
430,guokama02c,ORL,1990,1993,111,217,328,guokama02c_ORL_1990_1993
431,hillbr99c,ORL,1994,1997,191,104,295,hillbr99c_ORL_1994_1997
432,adubari99c,ORL,1997,1997,21,12,33,adubari99c_ORL_1997_1997
433,dalych99c,ORL,1998,1999,74,58,132,dalych99c_ORL_1998_1999
434,riverdo01c,ORL,2000,2004,171,168,339,riverdo01c_ORL_2000_2004
435,davisjo01c,ORL,2004,2005,51,84,135,davisjo01c_ORL_2004_2005
436,jentch01c,ORL,2005,2005,5,13,18,jentch01c_ORL_2005_2005
437,hillbr99c,ORL,2006,2007,76,88,164,hillbr99c_ORL_2006_2007
438,vangust99c,ORL,2008,2012,259,135,394,vangust99c_ORL_2008_2012
439,vaughja01c,ORL,2013,2015,58,158,216,vaughja01c_ORL_2013_2015
440,borreja99c,ORL,2015,2015,10,20,30,borreja99c_ORL_2015_2015
441,skilesc01c,ORL,2016,2016,35,47,82,skilesc01c_ORL_2016_2016
442,vogelfr99c,ORL,2017,2018,54,110,164,vogelfr99c_ORL_2017_2018
443,cliffst99c,ORL,2019,2020,72,75,147,cliffst99c_ORL_2019_2020
444,cervial01c,PHI,1950,1957,294,201,495,cervial01c_PHI_1950_1957
445,seymopa01c,PHI,1957,1960,155,124,279,seymopa01c_PHI_1957_1960
446,hannual01c,PHI,1961,1963,127,112,239,hannual01c_PHI_1961_1963
447,schaydo01c,PHI,1964,1966,129,111,240,schaydo01c_PHI_1964_1966
448,hannual01c,PHI,1967,1968,130,33,163,hannual01c_PHI_1967_1968
449,ramsaja99c,PHI,1969,1972,174,154,328,ramsaja99c_PHI_1969_1972
450,rubinro99c,PHI,1973,1973,4,47,51,rubinro99c_PHI_1973_1973
451,loughke01c,PHI,1973,1973,5,26,31,loughke01c_PHI_1973_1973
452,shuege01c,PHI,1974,1978,157,177,334,shuege01c_PHI_1974_1978
453,cunnibi01c,PHI,1978,1985,454,196,650,cunnibi01c_PHI_1978_1985
454,guokama02c,PHI,1986,1988,119,88,207,guokama02c_PHI_1986_1988
455,lynamji99c,PHI,1988,1992,194,173,367,lynamji99c_PHI_1988_1992
456,moedo01c,PHI,1993,1993,19,37,56,moedo01c_PHI_1993_1993
457,cartefr01c,PHI,1993,1994,32,76,108,cartefr01c_PHI_1993_1994
458,lucasjo01c,PHI,1995,1996,42,122,164,lucasjo01c_PHI_1995_1996
459,davisjo01c,PHI,1997,1997,22,60,82,davisjo01c_PHI_1997_1997
460,brownla01c,PHI,1998,2003,255,205,460,brownla01c_PHI_1998_2003
461,ayersra99c,PHI,2004,2004,21,31,52,ayersra99c_PHI_2004_2004
462,fordch01c,PHI,2004,2004,12,18,30,fordch01c_PHI_2004_2004
463,obrieji99c,PHI,2005,2005,43,39,82,obrieji99c_PHI_2005_2005
464,cheekma01c,PHI,2006,2009,122,147,269,cheekma01c_PHI_2006_2009
465,dileoto99c,PHI,2009,2009,32,27,59,dileoto99c_PHI_2009_2009
466,jordaed01c,PHI,2010,2010,27,55,82,jordaed01c_PHI_2010_2010
467,collido01c,PHI,2011,2013,110,120,230,collido01c_PHI_2011_2013
468,brownbr99c,PHI,2014,2020,217,340,557,brownbr99c_PHI_2014_2020
469,kerrre01c,PHO,1969,1970,31,89,120,kerrre01c_PHO_1969_1970
470,colanje99c,PHO,1970,1970,24,20,44,colanje99c_PHO_1970_1970
471,fitzsco99c,PHO,1971,1972,97,67,164,fitzsco99c_PHO_1971_1972
472,vanbrbu01c,PHO,1973,1973,3,4,7,vanbrbu01c_PHO_1973_1973
473,colanje99c,PHO,1973,1973,35,40,75,colanje99c_PHO_1973_1973
474,maclejo99c,PHO,1974,1987,579,543,1122,maclejo99c_PHO_1974_1987
475,vanardi01c,PHO,1987,1987,14,12,26,vanardi01c_PHO_1987_1987
476,wetzejo01c,PHO,1988,1988,28,54,82,wetzejo01c_PHO_1988_1988
477,fitzsco99c,PHO,1989,1992,217,111,328,fitzsco99c_PHO_1989_1992
478,westppa01c,PHO,1993,1996,191,88,279,westppa01c_PHO_1993_1996
479,fitzsco99c,PHO,1996,1997,27,30,57,fitzsco99c_PHO_1996_1997
480,aingeda01c,PHO,1997,2000,136,90,226,aingeda01c_PHO_1997_2000
481,skilesc01c,PHO,2000,2002,116,79,195,skilesc01c_PHO_2000_2002
482,johnsfr01c,PHO,2002,2004,63,71,134,johnsfr01c_PHO_2002_2004
483,dantomi01c,PHO,2004,2008,253,136,389,dantomi01c_PHO_2004_2008
484,portete01c,PHO,2009,2009,28,23,51,portete01c_PHO_2009_2009
485,gentral99c,PHO,2009,2013,158,144,302,gentral99c_PHO_2009_2013
486,hunteli01c,PHO,2013,2013,12,29,41,hunteli01c_PHO_2013_2013
487,hornaje01c,PHO,2014,2016,101,112,213,hornaje01c_PHO_2014_2016
488,watsoea01c,PHO,2016,2018,33,85,118,watsoea01c_PHO_2016_2018
489,trianja99c,PHO,2018,2018,21,58,79,trianja99c_PHO_2018_2018
490,kokosig01c,PHO,2019,2019,19,63,82,kokosig01c_PHO_2019_2019
491,willimo01c,PHO,2020,2020,26,39,65,willimo01c_PHO_2020_2020
492,toddro99c,POR,1971,1972,41,97,138,toddro99c_POR_1971_1972
493,inmanst99c,POR,1972,1972,6,20,26,inmanst99c_POR_1972_1972
494,mccloja01d,POR,1973,1974,48,116,164,mccloja01d_POR_1973_1974
495,wilkele01c,POR,1975,1976,75,89,164,wilkele01c_POR_1975_1976
496,ramsaja99c,POR,1977,1986,453,367,820,ramsaja99c_POR_1977_1986
497,schulmi99c,POR,1987,1989,127,84,211,schulmi99c_POR_1987_1989
498,adelmri01c,POR,1989,1994,291,154,445,adelmri01c_POR_1989_1994
499,carlepj99c,POR,1995,1997,137,109,246,carlepj99c_POR_1995_1997
500,dunlemi01c,POR,1998,2001,190,106,296,dunlemi01c_POR_1998_2001
501,cheekma01c,POR,2002,2005,162,139,301,cheekma01c_POR_2002_2005
502,pritcke01c,POR,2005,2005,5,22,27,pritcke01c_POR_2005_2005
503,mcmilna01c,POR,2006,2012,266,269,535,mcmilna01c_POR_2006_2012
504,canalka99c,POR,2012,2012,8,15,23,canalka99c_POR_2012_2012
505,stottte99c,POR,2013,2020,354,286,640,stottte99c_POR_2013_2020
506,harrile99c,SAC,1949,1955,295,181,476,harrile99c_SAC_1949_1955
507,wanzebo01c,SAC,1956,1959,98,136,234,wanzebo01c_SAC_1956_1959
508,marshto01c,SAC,1959,1960,35,94,129,marshto01c_SAC_1959_1960
509,wolfch99c,SAC,1961,1963,118,121,239,wolfch99c_SAC_1961_1963
510,mcmahja01c,SAC,1964,1967,187,134,321,mcmahja01c_SAC_1964_1967
511,juckeed99c,SAC,1968,1969,80,84,164,juckeed99c_SAC_1968_1969
512,cousybo01c,SAC,1970,1974,141,207,348,cousybo01c_SAC_1970_1974
513,youngdr99c,SAC,1974,1974,0,4,4,youngdr99c_SAC_1974_1974
514,johnsph99c,SAC,1974,1978,155,186,341,johnsph99c_SAC_1974_1978
515,stavela01c,SAC,1978,1978,18,27,45,stavela01c_SAC_1978_1978
516,fitzsco99c,SAC,1979,1984,248,244,492,fitzsco99c_SAC_1979_1984
517,mckinja99c,SAC,1985,1985,1,8,9,mckinja99c_SAC_1985_1985
518,johnsph99c,SAC,1985,1987,81,120,201,johnsph99c_SAC_1985_1987
519,reynoje99c,SAC,1987,1987,15,21,36,reynoje99c_SAC_1987_1987
520,russebi01c,SAC,1988,1988,17,41,58,russebi01c_SAC_1988_1988
521,reynoje99c,SAC,1988,1990,41,93,134,reynoje99c_SAC_1988_1990
522,mottadi99c,SAC,1990,1992,48,113,161,mottadi99c_SAC_1990_1992
523,hughere99c,SAC,1992,1992,22,35,57,hughere99c_SAC_1992_1992
524,stjeaga99c,SAC,1993,1997,159,236,395,stjeaga99c_SAC_1993_1997
525,jordaed01c,SAC,1997,1998,33,64,97,jordaed01c_SAC_1997_1998
526,adelmri01c,SAC,1999,2006,395,229,624,adelmri01c_SAC_1999_2006
527,musseer99c,SAC,2007,2007,33,49,82,musseer99c_SAC_2007_2007
528,theusre01c,SAC,2008,2009,44,62,106,theusre01c_SAC_2008_2009
529,nattke01c,SAC,2009,2009,11,47,58,nattke01c_SAC_2009_2009
530,westppa01c,SAC,2010,2012,51,120,171,westppa01c_SAC_2010_2012
531,smartke01c,SAC,2012,2013,48,93,141,smartke01c_SAC_2012_2013
532,malonmi99c,SAC,2014,2015,39,67,106,malonmi99c_SAC_2014_2015
533,corbity01c,SAC,2015,2015,7,21,28,corbity01c_SAC_2015_2015
534,karlge01c,SAC,2015,2016,44,68,112,karlge01c_SAC_2015_2016
535,joergda99c,SAC,2017,2019,98,148,246,joergda99c_SAC_2017_2019
536,waltolu01c,SAC,2020,2020,28,36,64,waltolu01c_SAC_2020_2020
537,hagancl01c,SAS,1968,1970,109,90,199,hagancl01c_SAS_1968_1970
538,willima99c,SAS,1970,1971,28,32,60,willima99c_SAS_1970_1971
539,blakebi99c,SAS,1971,1971,25,40,65,blakebi99c_SAS_1971_1971
540,nissato99c,SAS,1972,1972,42,42,84,nissato99c_SAS_1972_1972
541,mccarba99c,SAS,1973,1973,24,48,72,mccarba99c_SAS_1973_1973
542,brownda99c,SAS,1973,1973,4,8,12,brownda99c_SAS_1973_1973
543,nissato99c,SAS,1974,1975,63,49,112,nissato99c_SAS_1974_1975
544,bassbo99c,SAS,1975,1976,83,57,140,bassbo99c_SAS_1975_1976
545,moedo01c,SAS,1977,1980,177,135,312,moedo01c_SAS_1977_1980
546,bassbo99c,SAS,1980,1980,8,8,16,bassbo99c_SAS_1980_1980
547,albecst99c,SAS,1981,1983,153,93,246,albecst99c_SAS_1981_1983
548,mchonmo99c,SAS,1984,1984,11,20,31,mchonmo99c_SAS_1984_1984
549,bassbo99c,SAS,1984,1984,26,25,51,bassbo99c_SAS_1984_1984
550,fitzsco99c,SAS,1985,1986,76,88,164,fitzsco99c_SAS_1985_1986
551,weissbo01c,SAS,1987,1988,59,105,164,weissbo01c_SAS_1987_1988
552,brownla01c,SAS,1989,1992,153,131,284,brownla01c_SAS_1989_1992
553,bassbo99c,SAS,1992,1992,26,18,44,bassbo99c_SAS_1992_1992
554,tarkaje99c,SAS,1993,1993,9,11,20,tarkaje99c_SAS_1993_1993
555,hughere99c,SAS,1993,1993,1,0,1,hughere99c_SAS_1993_1993
556,lucasjo01c,SAS,1993,1994,94,49,143,lucasjo01c_SAS_1993_1994
557,hillbo99c,SAS,1995,1997,124,58,182,hillbo99c_SAS_1995_1997
558,popovgr99c,SAS,1997,2020,1272,611,1883,popovgr99c_SAS_1997_2020
559,malonbr99c,TOR,1996,1996,21,61,82,malonbr99c_TOR_1996_1996
560,walkeda01c,TOR,1997,1998,41,90,131,walkeda01c_TOR_1997_1998
561,cartebu01c,TOR,1998,2000,73,92,165,cartebu01c_TOR_1998_2000
562,wilkele01c,TOR,2001,2003,113,133,246,wilkele01c_TOR_2001_2003
563,oneilke99c,TOR,2004,2004,33,49,82,oneilke99c_TOR_2004_2004
564,mitchsa01c,TOR,2005,2009,156,189,345,mitchsa01c_TOR_2005_2009
565,trianja99c,TOR,2009,2011,87,142,229,trianja99c_TOR_2009_2011
566,caseydw99c,TOR,2012,2018,320,238,558,caseydw99c_TOR_2012_2018
567,nurseni01c,TOR,2019,2020,104,42,146,nurseni01c_TOR_2019_2020
568,robersc99c,UTA,1975,1975,1,14,15,robersc99c_UTA_1975_1975
569,bayloel01c,UTA,1975,1975,0,1,1,bayloel01c_UTA_1975_1975
570,vanbrbu01c,UTA,1975,1977,74,100,174,vanbrbu01c_UTA_1975_1977
571,bayloel01c,UTA,1977,1979,86,134,220,bayloel01c_UTA_1977_1979
572,nissato99c,UTA,1980,1982,60,124,184,nissato99c_UTA_1980_1982
573,laydefr99c,UTA,1982,1989,277,294,571,laydefr99c_UTA_1982_1989
574,sloanje01c,UTA,1989,2011,1127,682,1809,sloanje01c_UTA_1989_2011
575,corbity01c,UTA,2011,2014,112,146,258,corbity01c_UTA_2011_2014
576,snydequ01c,UTA,2015,2020,268,206,474,snydequ01c_UTA_2015_2020
577,pollaji01c,WAS,1962,1962,18,62,80,pollaji01c_WAS_1962_1962
578,mcmahja01c,WAS,1963,1963,12,26,38,mcmahja01c_WAS_1963_1963
579,leonasl01c,WAS,1963,1964,44,78,122,leonasl01c_WAS_1963_1964
580,jeannbu01c,WAS,1965,1965,37,43,80,jeannbu01c_WAS_1965_1965
581,seymopa01c,WAS,1966,1966,38,42,80,seymopa01c_WAS_1966_1966
582,farmemi01c,WAS,1967,1967,1,8,9,farmemi01c_WAS_1967_1967
583,jeannbu01c,WAS,1967,1967,3,13,16,jeannbu01c_WAS_1967_1967
584,shuege01c,WAS,1967,1973,291,257,548,shuege01c_WAS_1967_1973
585,joneskc01c,WAS,1974,1976,155,91,246,joneskc01c_WAS_1974_1976
586,mottadi99c,WAS,1977,1980,185,143,328,mottadi99c_WAS_1977_1980
587,shuege01c,WAS,1981,1986,231,248,479,shuege01c_WAS_1981_1986
588,loughke01c,WAS,1986,1988,57,65,122,loughke01c_WAS_1986_1988
589,unselwe01c,WAS,1988,1994,202,345,547,unselwe01c_WAS_1988_1994
590,lynamji99c,WAS,1995,1997,82,128,210,lynamji99c_WAS_1995_1997
591,staakbo99c,WAS,1997,1997,0,1,1,staakbo99c_WAS_1997_1997
592,bickebe99c,WAS,1997,1999,77,72,149,bickebe99c_WAS_1997_1999
593,broveji99c,WAS,1999,1999,5,13,18,broveji99c_WAS_1999_1999
594,heardga01c,WAS,2000,2000,14,30,44,heardga01c_WAS_2000_2000
595,walkeda01c,WAS,2000,2000,15,23,38,walkeda01c_WAS_2000_2000
596,hamille99c,WAS,2001,2001,19,63,82,hamille99c_WAS_2001_2001
597,collido01c,WAS,2002,2003,74,90,164,collido01c_WAS_2002_2003
598,jordaed01c,WAS,2004,2009,197,224,421,jordaed01c_WAS_2004_2009
599,tapsced99c,WAS,2009,2009,18,53,71,tapsced99c_WAS_2009_2009
600,saundfl99c,WAS,2010,2012,51,130,181,saundfl99c_WAS_2010_2012
601,wittmra01c,WAS,2012,2016,178,199,377,wittmra01c_WAS_2012_2016
602,brooksc01c,WAS,2017,2020,148,162,310,brooksc01c_WAS_2017_2020
